accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
-16464,2704,744,4014,3011,1437,walking,0.122514687,0.155823443,0.202517183
-15504,2532,752,-910,5588,1615,walking,-0.027756161,0.262577932,0.208774983
-14564,1996,352,-668,1306,1699,walking,-0.020370794,0.08519232,0.211728102
-16056,2264,300,-1959,-2108,593,walking,-0.059769589,-0.05623563,0.172845366
-15800,2404,476,-3782,-2300,-869,walking,-0.115403983,-0.064189399,0.121447028
-15596,2516,64,-4053,-2998,-2028,walking,-0.123674372,-0.093104662,0.080701014
-15604,2568,-96,-6559,-2357,-2625,walking,-0.20015259,-0.066550674,0.059712774
-15272,3120,-536,-9758,-1325,-2334,walking,-0.297779812,-0.023799167,0.069943223
-15056,3176,-672,-8108,-1756,237,walking,-0.24742504,-0.041653721,0.160329765
-15072,3216,-812,-4949,150,3316,walking,-0.15101854,0.037304004,0.268575647
-14468,2440,-612,-7000,3204,3519,walking,-0.213611048,0.163818638,0.275712352
-14988,2692,-152,91,2496,4597,walking,0.002792401,0.134489115,0.313610716
-15720,1784,-80,-3352,3761,2703,walking,-0.102281224,0.186892852,0.247024908
-15456,2528,476,-5317,3778,1342,walking,-0.16224918,0.187597092,0.199177345
-13996,1560,376,-2239,-162,-83,walking,-0.068314641,0.02437913,0.149079787
-15372,2424,400,-5991,-1943,-4059,walking,-0.182818341,-0.04940036,0.00929881
-14648,2300,-68,-6706,-3907,-4748,walking,-0.204638743,-0.130760786,-0.014923799
-15568,3184,-108,-7554,-5232,-5444,walking,-0.230518044,-0.185650076,-0.039392501
-15132,3204,-736,-3706,-3590,-3300,walking,-0.113084611,-0.117628783,0.035982352
-15092,3408,-852,-1881,-661,-1682,walking,-0.057389181,0.003707616,0.092865053
-15216,3168,-744,2071,2501,1266,walking,0.063218128,0.134696245,0.196505476
-15540,3048,-340,4520,5329,3173,walking,0.137956817,0.25184863,0.263548313
-15556,2788,200,6013,6495,4559,walking,0.183520256,0.300151204,0.312274781
